nombre,etiqueta,categoria,precio,url,imagen
Nike Phantom,,10% de descuento,$499,https://www.nike.com/mx/t/balon-de-futbol-nike-phantom-BLofCPdG/HV6335-103,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a60e71d0-7d29-40d0-86a0-6ca23aedd542/NK+PHANTOM+-+FA25.png"
Nike Mercurial Hardshell,,10% de descuento,$399,https://www.nike.com/mx/t/protecciones-para-pierna-de-futbol-nike-mercurial-hardshell-sNzZVz/DN3614-852,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d60341bd-bcff-43c2-80f0-e7d266593258/NK+MERC+HARDSHELL+-+FA22.png"
Nike Skills Total 90,,19% de descuento,$499,https://www.nike.com/mx/t/balon-de-futbol-nike-skills-total-90-qrBeLMcj/IH7533-707,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/887ebfc8-9c12-4eac-ba57-99983e71f3da/NIKE+SKILLS+T90+FA25.png"
Nike Maestro,,19% de descuento,$599,https://www.nike.com/mx/t/balon-de-futsal-nike-maestro-Ql6XxIEC/HV5100-902,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5fdbd21a-93ea-4d2f-826d-f0221d0c5aa7/NK+FUTSAL+MAESTRO+-+FA25.png"
Nike Essential,,10% de descuento,$539,https://www.nike.com/mx/t/bomba-para-inflar-nike-essential-XGw0rqn5/AC4355-091,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0867c04f-bd99-4531-8862-15ef60450f98/NIKE+ESSENTIAL+BALL+PUMP+INTL.png"
Nike Charge,,10% de descuento,$499,https://www.nike.com/mx/t/espinillera-de-futbol-nike-charge-MFtBhV/DX4608-852,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d27a56e3-f6e2-4061-ad61-78ff34aa36ab/NK+CHRG+GRD.png"
Nike Pro,,19% de descuento,"$1,199",https://www.nike.com/mx/t/rodillera-de-tejido-knit-nike-pro-q7VCCMiL/DA6934-010,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/6d63cc25-cc20-425a-a639-7c145cd155da/NIKE+PRO+KNIT+KNEE+SLEEVE.png"
"Nike Academy ""Erling Haaland""",,10% de descuento,$799,https://www.nike.com/mx/t/balon-de-futbol-nike-academy-erling-haaland-687JxhST/IR4337-398,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/8a8b5033-9838-413f-86a1-9250aa25cabf/NK+EH+ACADEMY+-+SU26.png"
Nike Pro Dri-FIT,,25% de descuento,"$1,309",https://www.nike.com/mx/t/manga-de-futbol-americano-4-nike-pro-dri-fit-KXfCIMIn/CW7206-010,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5e9881ee-33eb-4877-b9cf-62230fdc997c/NIKE+PRO+DRI-FIT+SLEEVES+4.0.png"
Nike Flex,,25% de descuento,$419,https://www.nike.com/mx/t/bandas-para-la-cabeza-paquete-de-6-nike-flex-JjGGaOpO/IF1676-189,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/847a4598-34ca-47dd-a16e-03d3578be5c1/NK+FLX+CLSC+HBS+6PK.png"
Nike Pitch,,10% de descuento,$549,https://www.nike.com/mx/t/balon-de-futbol-nike-pitch-HfyuwqlS/HV6249-104,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/4c999213-b9a3-4320-8f51-29f910bd8d18/NIKE+PITCH+-+FA25.png"
"Nike Academy ""Vini Jr.""",,10% de descuento,$549,https://www.nike.com/mx/t/academy-vini-jr-bolsa-de-gimnasio-para-futbol-XwZXf5f6/IO9425-417,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/4ac1c65e-f0fa-47cd-aa18-bccf878e0e53/NK+ACDMY+GMSK+-+VJR+SP26.png
Nike Mercurial Fade,,19% de descuento,$499,https://www.nike.com/mx/t/balon-de-futbol-nike-mercurial-fade-kTljDCg6/HV6330-101,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/1b81fbe1-68fa-48f3-869b-0f195cd5f31b/NK+MERC+FADE-FA25.png"
Brazil Academy,,19% de descuento,$699,https://www.nike.com/mx/t/balon-de-futbol-nike-brazil-academy-16buaC48/II7087-100,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d00a5f45-eca4-4b46-b43f-358280c40cf2/CBF+NK+ACADEMY+SP26.png"
Nike Swoosh Classic,,19% de descuento,$369,https://www.nike.com/mx/t/banda-para-la-cabeza-reversible-nike-swoosh-classic-OZxEcNAY/II5180-421,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d706f309-3af4-43d1-8b9d-046fefda65a4/NK+SWSH+CLSC+REVERSIBLE+HB.png"
Nike Fury,,19% de descuento,$519,https://www.nike.com/mx/t/banda-para-la-cabeza-dri-fit-clasica-nike-fury-9XBiKnAd/IQ6095-010,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/147c011b-6add-4aef-891e-e8fc505b56f5/NK+DF+FURY+CLASSIC+HEAD+TIE.png"
Uruguay VaporFast Home/Away,,10% de descuento,$549,https://www.nike.com/mx/t/calcetas-de-futbol-nike-dri-fit-adv-uruguay-vaporfast-home-away-d1tFEbMc/IR2291-452,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5f1c2d4d-8c3c-4027-bf6a-5ca83b5540bd/AUF+U+NK+VPRFAST+KH+HA.png"
Nike Charge,,10% de descuento,$499,https://www.nike.com/mx/t/espinilleras-de-futbol-para-ninos-nike-charge-LFpt0r/DX4610-852,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/6a415566-901f-4bc6-ae15-490c4d6c06ee/Y+NK+CHRG+GRD+SU23.png"
